Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
,31285317,31286835,20
,60083360,60083872,20
,57161822,57163775,20
TSHZ2,52972358,53495330,20
LINC01056,63038011,63053863,20
,62427827,62447677,20
,61077224,61077816,20
LINC01429,51831797,51862912,20
VSTM2L,37903111,37945350,20
,52451464,52455619,20
,55504906,55505215,20
,11838355,11838574,20
RARRES2P11,29427400,29427883,20
EIF2S2,34088309,34112243,20
SOX18,64047582,64049639,20
,61267525,61271827,20
,62633772,62635862,20
ACSS1,25006230,25058980,20
,62575590,62577507,20
DOK5,54475593,54651169,20
,48657073,48659119,20
HMGB3P1,34833575,34834462,20
B4GALT5,49632945,49713878,20
HIGD1AP16,35878476,35878733,20
RPL17P1,20253303,20253838,20
ZFP64,52051663,52204308,20
,11685144,11687323,20
BLCAP,37492472,37527931,20
CKAP2LP1,1756756,1758940,20
SALL4,51782331,51802521,20
NNAT,37521206,37523690,20
BMP7,57168753,57266641,20
TTI1,37983007,38033461,20
,38260175,38293892,20
SCP2D1,18813783,18814378,20
BHLHE23,63005927,63007035,20
RPSAP1,51130788,51131667,20
LINC01749,63009383,63085071,20
CDH4,61252261,61940617,20
,52671735,52699472,20
,52487922,52500591,20
,51734533,51735067,20
NDRG3,36651766,36746090,20
PTMAP6,56700837,56701514,20
,61369879,61370855,20
LINC01716,56577563,56598621,20
LINC01441,55420336,55427197,20
RPS21,62387103,62388520,20
NKILA,57710156,57712780,20
MTCO2P1,60414396,60414872,20
RPS2P1,34122470,34123290,20
SNRPFP1,49729591,49729842,20
,55775176,55781231,20
LINC01718,61079049,61083750,20
TFAP2C,56629306,56639283,20
,60755001,60767279,20
,62513909,62516096,20
SS18L1,62143769,62182514,20
BMP7-AS1,57214872,57215866,20
NOP56,2652593,2658393,20
RPS4XP3,56601701,56602113,20
LINC00029,63034217,63037028,20
NFATC2,51386957,51562831,20
,56730397,56731460,20
,53552770,53575863,20
,38404893,38416797,20
SYCP2,59863564,59933655,20
LAMA5,62307955,62367312,20
,57105741,57107128,20
LSM14B,62122461,62135374,20
PHACTR3,59577509,59847711,20
,37526642,37527060,20
,60812004,60814211,20
FRG2EP,29415264,29416911,20
TCEA2,64049836,64072347,20
GATA5,62463497,62475995,20
LBP,38346482,38377013,20
FAM217B,59933764,59948680,20
RBL1,36996349,37095997,20
AGGF1P10,29430723,29432913,20
,62477870,62478594,20
,64056803,64057084,20
RAB22A,58309715,58367507,20
,38378825,38383179,20
,59395496,59397109,20
EDN3,59300443,59325992,20
RPL7P3,62572671,62573384,20
PIEZO1P1,59460619,59460837,20
,59352195,59357774,20
RPRD1B,38033725,38127780,20
LINC02970,62596732,62603355,20
,59360927,59364773,20
ADRM1,62302093,62308862,20
PHF20,35771974,35950370,20
,59515191,59516039,20
COX7BP2,35850674,35850915,20
,62305432,62306325,20
,20970448,20972562,20
LLPHP1,20721187,20721879,20
MRPS11P1,20854121,20854642,20
,52072685,52096480,20
GGT7,34844720,34872856,20
,37676889,37683234,20
,55607852,55744938,20
ERP29P1,52110344,52111049,20
,53137293,53141169,20
MIR1292,2652777,2652842,20
SNORD110,2654212,2654286,20
SNORA51,2655067,2655198,20
SNORD86,2656097,2656182,20
SNORD56,2656624,2656694,20
SNORD57,2656939,2657010,20
,4868984,4869118,20
MIR8062,7371608,7371692,20
U3,16982831,16983033,20
RN7SKP69,17576206,17576510,20
RNU6-27P,17187510,17187616,20
Y_RNA,16670641,16670742,20
RN7SL547P,7633562,7633851,20
RN7SL607P,20738433,20738731,20
RNU1-131P,17209060,17209220,20
RNA5SP474,5098387,5098476,20
RN7SKP111,11818821,11819091,20
RNU6-1257P,24974171,24974280,20
RN7SL561P,1666360,1666640,20
RNU105B,8831186,8831393,20
RN7SL690P,20316755,20316994,20
Y_RNA,25214698,25214798,20
RN7SKP140,21424758,21425041,20
RNU6ATAC17P,25611153,25611223,20
5_8S_rRNA,29741510,29741661,20
5_8S_rRNA,29297095,29297246,20
RNU1-23P,24237255,24237398,20
Y_RNA,29575060,29575171,20
RNA5SP528,30816156,30816274,20
RN7SL594P,25654595,25654881,20
MIR6870,10649636,10649695,20
MIR4755,34049119,34049190,20
Y_RNA,30309015,30309126,20
Y_RNA,35853252,35853364,20
,35117136,35117207,20
SNORA71,38442036,38442169,20
RNU4-40P,35887659,35887801,20
RNU6-937P,35928570,35928675,20
RNU6-639P,43796437,43796543,20
Y_RNA,23457584,23457685,20
RNA5SP532,29874059,29874177,20
RN7SL116P,38872770,38873074,20
RN7SL237P,38098414,38098700,20
RN7SL680P,39349094,39349392,20
MIR663A,26208186,26208278,20
MIR3616,47166967,47167058,20
RNU7-144P,48494234,48494309,20
RNU6-919P,49794811,49794914,20
RNU6-347P,51902291,51902395,20
Y_RNA,53544615,53544725,20
RNU7-6P,51904969,51905030,20
Y_RNA,49920597,49920694,20
SNORA71,38421647,38421774,20
SNORA71A,38427309,38427442,20
SNORA71C,38429670,38429803,20
SNORA71D,38433865,38433998,20
RNU6-147P,49972106,49972212,20
RNU6-497P,47484278,47484381,20
RNA5SP487,56205052,56205173,20
RNU6-1146P,56667430,56667531,20
MIR3194,51452905,51452977,20
RNU6-929P,56785981,56786087,20
RNU7-14P,53668697,53668758,20
RNU4ATAC7P,54859688,54859812,20
RN7SKP184,53097652,53097984,20
RN7SL197P,49721949,49722247,20
RNU7-141P,59852667,59852728,20
RN7SKP185,37975156,37975481,20
MIR646,60308474,60308567,20
MIR4533,60478111,60478181,20
MIR548AG2,60564562,60564625,20
RN7SKP100,43063326,43063609,20
MIR1-1,62554306,62554376,20
MIR133A2,62564912,62565013,20
,57895394,57895444,20
RN7SKP33,46859333,46859672,20
RN7SL170P,56688401,56688695,20
Metazoa_SRP,49932795,49933078,20
MIR4758,62332487,62332557,20
RNU6-563P,47492978,47493085,20
,52482801,52482991,20
RBPJL,45306840,45317824,20
SDC4,45325288,45348424,20
,45345115,45345823,20
SYS1,45361937,45376798,20
SYS1-DBNDD2,45363200,45410610,20
TP53TG5,45372557,45407889,20
NDUFB4P10,45388347,45388705,20
,58594417,58603973,20
LINC01711,58634772,58635738,20
STX16,58651253,58679526,20
STX16-NPEPL1,58651434,58715410,20
NPEPL1,58689131,58719238,20
,58710795,58711633,20
PIEZO1P2,58740532,58783821,20
,58754351,58756838,20
,58817132,58817725,20
MIR296,58817615,58817694,20
MIR298,58818226,58818313,20
,58833809,58836529,20
,58842030,58842132,20
,58842433,58842546,20
,58850530,58850641,20
,58850783,58850903,20
,58863528,58888809,20
,58876592,58876981,20
,58916000,58981169,20
,58948089,58948267,20
NELFCD,58981208,58995133,20
TUBB1,59019429,59026654,20
ATP5F1E,59025475,59032345,20
PRELID3B,59033145,59042809,20
MRPS16P2,59113224,59113631,20
GDF5-AS1,35433029,35435450,20
GDF5,35433347,35454746,20
MIR1289-1,35453954,35454097,20
CEP250,35455164,35519280,20
C20orf173,35523186,35529652,20
RPL36P4,35544430,35544747,20
FER1L4,35558737,35607562,20
RPL37P1,35588324,35588607,20
,35632340,35674544,20
RN7SKP271,35643143,35643462,20
RNU6-759P,35647328,35647430,20
RBM12,35648925,35664956,20
FITM2,44302840,44311202,20
R3HDML-AS1,44347552,44355185,20
HNF4A-AS1,44372746,44395706,20
,44389624,44391537,20
LINC01620,44436172,44465349,20
RPL37AP1,44466564,44466842,20
TTPAL,44475874,44494603,20
SERINC3,44496221,44522085,20
PKIG,44531785,44624247,20
RN7SL156P,36870099,36870402,20
TLDC2,36876121,36894235,20
RPS3AP3,37021743,37021984,20
RPS27AP3,37049254,37049707,20
RN7SL443P,44007248,44007537,20
,44181111,44182712,20
OSER1,44195939,44210771,20
JPH2,44106590,44187188,20
,43388642,43389041,20
RNU6-743P,43405473,43405578,20
EIF4EBP2P1,43423196,43423538,20
Y_RNA,43451159,43451260,20
SRSF6,43457893,43466046,20
RNU6-1251P,43473013,43473119,20
,43523261,43523572,20
,43540171,43569498,20
,43549389,43550949,20
,43590009,43590596,20
IFT52,43590937,43647299,20
RPL27AP,43652523,43653291,20
MYBL2,43667019,43716495,20
GTSF1L,43726164,43727002,20
CST9,23602410,23605917,20
SIRPB1,1561385,1620061,20
OTOR,16748358,16770062,20
SRXN1,646615,653200,20
DTD1,18587942,18766644,20
OSBPL2,62231922,62296213,20
R3HDML,44337043,44351238,20
RIMS4,44751808,44810546,20
HAR1B,63090806,63102631,20
,63102142,63102259,20
HAR1A,63102205,63104386,20
,63116218,63117205,20
,63127495,63129459,20
,63144311,63152087,20
MIR124-3,63178500,63178586,20
YTHDF1,63195429,63216139,20
,63218041,63218502,20
BIRC7,63235883,63240495,20
MIR3196,63238779,63238842,20
NKAIN4,63240784,63272694,20
FLJ16779,63253978,63261615,20
ARFGAP1,63272785,63289790,20
MIR4326,63286808,63286866,20
RNU6-994P,63337339,63337449,20
CHRNA4,63343223,63378401,20
,63359988,63371177,20
,63422269,63424555,20
KCNQ2-AS1,63448051,63449329,20
,10317889,10318753,20
HIGD1AP15,10334419,10334698,20
RPL23AP6,10349157,10349628,20
SDAD1P2,10385779,10387806,20
MKKS,10401009,10434222,20
MKKS,10413520,10431922,20
MKKS,10420546,10420737,20
EEF1A2,63488013,63499239,20
,63502287,63505111,20
PPDPF,63520765,63522206,20
PTK6,63528001,63537376,20
,63543411,63543738,20
FNDC11,63547891,63556695,20
RNU1-94P,31901254,31901426,20
PDRG1,31944337,31952046,20
XKR7,31968151,32003387,20
,31970181,31970831,20
,32005671,32031591,20
RNA5SP481,32008351,32008472,20
CCM2L,32010438,32032180,20
RNA5SP482,32050588,32050705,20
,32116171,32116629,20
RSL24D1P6,32170390,32170790,20
TSPY26P,32186477,32190527,20
PLAGL2,32192504,32207743,20
POFUT1,32207880,32238658,20
MIR1825,32237795,32237847,20
,32275117,32277510,20
,32561093,32573888,20
NOL4L-DT,32564992,32608893,20
,32581963,32593900,20
C20orf203,32631625,32673941,20
,32632183,32743567,20
BAK1P1,32690180,32690815,20
MAPRE1,32819954,32850405,20
,32843128,32854257,20
,32856621,32858751,20
PROCR,35172072,35216240,20
,35174355,35174919,20
RNA5SP483,35195306,35195423,20
MMP24OS,35201745,35278131,20
MT1P3,35218009,35218185,20
MMP24,35226690,35276998,20
,35262727,35264187,20
,35267885,35280043,20
FAM83C-AS1,35285251,35285756,20
FAM83C,35285731,35292425,20
RPS10P5,839447,839977,20
,37095785,37097178,20
,37165774,37166312,20
,37338886,37344109,20
SIRPA,1894167,1940592,20
DSN1,36751791,36773818,20
ZBTB46,63743668,63832038,20
SLC9A8,49812713,49892242,20
GDAP1L1,44247099,44280947,20
VSX1,25070885,25082141,20
,36233851,36234297,20
MYL9,36541497,36551447,20
Metazoa_SRP,36561237,36561530,20
TGIF2,36573488,36593950,20
TGIF2-RAB5IF,36574553,36612384,20
SLA2,36612318,36646196,20
HNRNPA3P2,36620403,36621423,20
Y_RNA,36668559,36668670,20
MRPS26,3046052,3048250,20
OXT,3071620,3072517,20
AVP,3082556,3084724,20
RN7SL555P,3094171,3094509,20
UBOX5-AS1,3106913,3150867,20
UBOX5,3107573,3160196,20
DDRGK1,3190350,3204685,20
ITPA,3208868,3223870,20
,3239705,3245382,20
RNU6-1019P,3360036,3360142,20
UBE2V1P1,3361880,3362324,20
U3,3384229,3384440,20
,3406380,3410036,20
,31535263,31535626,20
HM13-IT1,31563166,31564076,20
HM13-AS1,31567707,31573263,20
,31580890,31581214,20
RNU6-384P,31581089,31581192,20
ID1,31605283,31606515,20
MIR3193,31607186,31607240,20
COX4I2,31637912,31645006,20
BCL2L1-AS1,31686216,31716825,20
ABALON,31721507,31723409,20
TPX2,31739271,31801805,20
,31808503,31808749,20
MYLK2,31819308,31834689,20
FOXS1,31844303,31845604,20
BCL2L1,31664452,31723989,20
,21089696,21092539,20
RPL24P2,21114723,21115197,20
KIZ,21125983,21246622,20
RNA5SP477,21138956,21139074,20
,21148741,21162890,20
KIZ-AS1,21154023,21218289,20
RPS15AP1,21166206,21166596,20
ZNF877P,21265854,21266465,20
,21302731,21303704,20
RNU6-192P,17903762,17903861,20
OVOL2,17956979,18059188,20
SNORD17,17962710,17962946,20
MGME1,17969018,17991122,20
PTMAP3,18011955,18012284,20
,18059493,18071008,20
RPL15P1,18090116,18090715,20
RNU7-137P,18095571,18095632,20
Y_RNA,18113467,18113579,20
GGCTP2,18220113,18220512,20
RN7SL14P,18258554,18258851,20
RNU2-56P,18265690,18265879,20
,18270630,18271069,20
,18289343,18359300,20
RN7SKP74,18295143,18295451,20
ZNF133-AS1,18313765,18315111,20
LINC00851,18379049,18381484,20
PET117,18137863,18143169,20
LAMP5-AS1,9505180,9514998,20
LAMP5,9514358,9530524,20
,9562941,9571257,20
,9575608,9577689,20
,9835556,9873900,20
PSMF1,1113240,1189415,20
ACTG1P3,1160584,1161697,20
,1186092,1207036,20
SNPH,1266280,1309328,20
SDCBP2,1309909,1329139,20
,1317571,1393096,20
,1320710,1324367,20
,1361622,1362585,20
MIR6869,1392900,1392961,20
SIRPB2,1470741,1491587,20
,1516759,1557653,20
RNU6-917P,1529056,1529159,20
SIRPD,1534251,1557705,20
,1591392,1591848,20
,8929895,8930038,20
,8934984,8935481,20
Metazoa_SRP,8998849,8999100,20
SNX21,45833799,45843276,20
Metazoa_SRP,45847630,45847940,20
ZSWIM3,45857614,45879122,20
,45892694,45893419,20
PLTP,45898621,45912155,20
,45926518,45935055,20
PCIF1,45934683,45948023,20
ZNF335,45948660,45972203,20
FTLP1,45975249,45976075,20
MMP9,46008908,46016561,20
SLC12A5-AS1,46013500,46022073,20
FKBP1A,1368977,1393164,20
,3465177,3465444,20
SLC4A11,3227417,3239559,20
,33655701,33656423,20
NECAB3,33657087,33674463,20
C20orf144,33662327,33665619,20
,33674517,33675380,20
E2F1,33675477,33686385,20
PXMP4,33702758,33720319,20
,33728931,33731828,20
RPL31P2,33752167,33752543,20
ZNF341-AS1,33787373,33811109,20
CHMP4B,33811348,33854366,20
RN7SL666P,43222206,43222509,20
PPIAP21,43230760,43231260,20
,43304555,43304679,20
EIF6,35278907,35284985,20
Y_RNA,5113993,5114083,20
PCNA,5114953,5126626,20
,5121417,5121539,20
CDS2,5126879,5197887,20
UBE2D3P1,5292388,5292831,20
PROKR2,5299218,5316954,20
RNA5-8SP7,5346006,5346160,20
,5407564,5407876,20
LINC00658,5426892,5471094,20
,5445838,5475483,20
SNX5,17941597,17968980,20
COMMD7,32702699,32743467,20
PAK5,9537370,9839076,20
GNRH2,3043622,3045747,20
BANF2,17693672,17735871,20
CTSZ,58985686,59008238,20
RNU2-52P,41024205,41024394,20
TOP1,41028822,41124487,20
PLCG1-AS1,41098019,41138003,20
MIR6871,41169023,41169078,20
,41196647,41196938,20
RPL23AP81,41196691,41197157,20
RN7SL615P,41290280,41290577,20
RPL7AP12,4590993,4591300,20
RPS4XP2,4627758,4685148,20
PRNP,4686350,4701590,20
PRND,4721909,4728460,20
PRNT,4731279,4740668,20
IDI1P3,4735669,4736673,20
,4761300,4761696,20
RASSF2,4780023,4823608,20
NFS1,35668052,35699355,20
ROMO1,35699272,35700984,20
RBM39,35701347,35742312,20
RPF2P1,35752814,35753719,20
U6,35769785,35769867,20
CPNE1,35626031,35664956,20
,19208652,19212164,20
SLC24A3,19212642,19722926,20
,19212852,19213477,20
SLC24A3-AS1,19242302,19284596,20
,19693209,19697576,20
,19756390,19758037,20
MAFB,40685848,40689236,20
,40696499,40698616,20
,40717257,40758636,20
RNA5SP484,40854119,40854229,20
ADI1P1,41331123,41331660,20
LPIN3,41340821,41360582,20
,41382383,41383107,20
CHD6,41402083,41618384,20
,41459354,41461944,20
,41485571,41486225,20
RPL12P11,41547422,41547922,20
RNU6-1018P,41684986,41685091,20
,41712479,41712600,20
,45229817,45230191,20
SLPI,45252239,45254564,20
,45435272,45448325,20
WFDC2,45469753,45481532,20
,45487613,45490248,20
RPL5P2,45490818,45491671,20
SPINT3,45512461,45515622,20
EPPIN-WFDC6,45534196,45547662,20
,45536796,45537014,20
HSPD1P21,45539983,45540227,20
EPPIN,45540626,45547752,20
RNA5SP485,45559758,45559876,20
HNRNPA1P3,45745737,45746287,20
WFDC3,45747944,45791932,20
SPINT5P,45749920,45750074,20
RNU6ATAC38P,45778698,45778823,20
DNTTIP1,45791954,45811427,20
UBE2C,45812576,45816957,20
TNNC2,45823214,45833745,20
ZSWIM1,45881227,45885266,20
SNAP23P1,49038357,49038602,20
CSE1L-DT,49040463,49046168,20
CSE1L,49046246,49096960,20
STAU1,49113339,49188367,20
ARPC3P1,49134480,49135012,20
,62640719,62643304,20
SLCO4A1,62642503,62685785,20
SLCO4A1-AS2,62648961,62650767,20
,62651272,62652186,20
SLCO4A1-AS1,62663019,62666724,20
LINC00686,62695024,62700480,20
NTSR1,62708836,62762771,20
,62732566,62735347,20
MRGBP,62796473,62801729,20
OGFR,62804835,62814000,20
COL9A3,62816244,62841159,20
TCFL5,62841005,62861822,20
DPH3P1,62845664,62845912,20
ARF4P2,62872250,62873076,20
DIDO1,62877738,62937952,20
,62928621,62929297,20
HSPA12B,3732685,3753111,20
C20orf27,3753508,3767781,20
SPEF1,3777504,3781448,20
CENPB,3783851,3786740,20
LINC01730,3808357,3812434,20
,3811384,3823882,20
AP5S1,3820524,3828838,20
MAVS,3846799,3876123,20
MIR103A2,3917494,3917571,20
MIR103B2,3917502,3917563,20
SIGLEC1,3686970,3712600,20
NORAD,36045618,36051018,20
,36064243,36064563,20
HMGB3P2,36076018,36076601,20
,36086252,36088192,20
EPB41L1,36091504,36232799,20
AAR2,36236131,36270918,20
DEFB132,257724,261096,20
,267186,268857,20
C20orf96,270863,290778,20
ZCCHC3,297570,300321,20
,311731,313237,20
NRSN2-AS1,316860,348490,20
NRSN2,346782,359660,20
TBC1D20,423596,462566,20
Y_RNA,450663,450762,20
CSNK2A1,472498,543835,20
SLC52A3,760080,776015,20
,48821688,48849458,20
ARFGEF2,48921711,49036693,20
FAM210B,56358974,56368663,20
AURKA,56369389,56392337,20
CSTF1,56392371,56406362,20
RPL39P,56459428,56459583,20
RTF2,56468585,56519449,20
FAM209A,56517187,56526152,20
,56522252,56523499,20
FAM209B,56533246,56536520,20
,56550605,56555579,20
CASS4,56412112,56460387,20
NDUFAF5,13785007,13821580,20
ZNFX1,49237946,49278426,20
ZFAS1,49278178,49299600,20
,49278427,49278624,20
SNORD12C,49278940,49279028,20
,49279116,49279208,20
SNORD12B,49280319,49280409,20
,49280485,49280571,20
SNORD12,49280683,49280772,20
PARD6B,50731580,50756795,20
TMSB4XP6,50840615,50840749,20
PSMD10P1,50913731,50914411,20
ADNP-AS1,50930984,50945148,20
MOCS3,50958818,50963929,20
RPL12P12,19823443,19823943,20
NAA20,20017310,20033655,20
CRNKL1,20034368,20056046,20
,20094401,20095684,20
RIN2,19757606,20002457,20
,3921279,3923400,20
RNF24,3927309,4015558,20
FTLP3,4023917,4024444,20
RPL21P2,4059633,4060113,20
,4070152,4075165,20
NSFL1C,1442162,1473842,20
SCAND1,35953617,35959472,20
HCK,32052197,32101856,20
DDX27,49219347,49244077,20
MTG2,62183028,62203568,20
CDC25B,3786772,3806121,20
TMC2,2536573,2643580,20
SOX12,325552,330224,20
CST1,23747562,23751268,20
CST4,23685640,23689038,20
ZNF217,53567071,53609907,20
DNAAF9,3249306,3407669,20
NEURL2,45888625,45891208,20
PANK2,3888839,3929887,20
ESF1,13714322,13784919,20
DPM1,50934867,50959140,20
,50999370,51010019,20
KCNG1,51003656,51023107,20
,51098138,51098845,20
WFDC13,45702038,45708817,20
MIR3617,45705102,45705180,20
SPINT4,45722347,45725830,20
CTSA,45890144,45898949,20
NCOA5,46060991,46089962,20
RPL13P2,46099518,46100176,20
SAMHD1,36890229,36951893,20
GMEB2,63587602,63627101,20
STMN3,63639705,63657682,20
TNFRSF6B,63696652,63698684,20
ARFRP1,63698642,63708025,20
ZGPAT,63707465,63736142,20
,63708864,63739103,20
,63730072,63730377,20
,63738270,63740398,20
SLC2A4RG,63739776,63744050,20
ZBTB46-AS2,63744689,63745958,20
ZBTB46-AS1,63808076,63816521,20
KCNQ2,63400208,63472677,20
RPL19P1,2780614,2781041,20
CPXM1,2794074,2800627,20
,2814968,2818066,20
C20orf141,2814987,2815833,20
TMEM239,2816302,2820284,20
PCED1A,2835314,2841190,20
VPS16,2840703,2866732,20
MANBAL,37289649,37317260,20
TCF15,604257,610309,20
BCAS4,50794894,50877177,20
SPATA25,45886491,45887622,20
DBNDD2,45406057,45410610,20
C20orf204,64034344,64039962,20
TRIB3,362835,397559,20
SRMS,63538489,63547749,20
DUSP15,31847637,31870664,20
ZHX3,41178448,41317731,20
DLGAP4,36306336,36528637,20
LZTS3,3162617,3173549,20
TMEM74B,1180561,1185415,20
PTPRA,2873420,3039076,20
RAD21L1,1226044,1296421,20
ZNF831,59123381,59259113,20
CBFA2T2,33490075,33650036,20
ACTL10,33666943,33668525,20
TPM3P2,33912323,33913336,20
PIGPP3,33965162,33965576,20
GNAS,58839718,58911192,20
,47630266,47631438,20
,47677901,47686297,20
RNU7-173P,47826969,47827044,20
SRMP1,47859788,47860672,20
RNA5SP486,47873191,47873273,20
RNU7-92P,47904348,47904423,20
PLCG1,41136960,41196801,20
PEDS1-UBE2V1,50081124,50153637,20
PEDS1,50118254,50153734,20
LINC01273,50171809,50176676,20
,50166362,50171742,20
CEBPB-AS1,50184598,50191498,20
CEBPB,50190830,50192668,20
RN7SL636P,50429190,50429483,20
COX6CP2,50479767,50479991,20
PTPN1,50510321,50585241,20
RN7SL672P,50557682,50557998,20
Y_RNA,50563009,50563110,20
,50570975,50578041,20
MIR645,50585786,50585879,20
MIR1302-5,50614636,50614785,20
RPL36P2,50620763,50621077,20
LINC01271,50299876,50321486,20
RPL7AP14,37444733,37445534,20
SRC,37344685,37406050,20
NXT1-AS1,23346941,23351486,20
NXT1,23350791,23354771,20
GZF1,23362182,23373062,20
NAPB,23374519,23421519,20
RNA5SP479,23380896,23381012,20
CSTL1,23426104,23444930,20
CST11,23450403,23452876,20
SLC25A6P1,21742303,21743077,20
RPL41P1,21755270,21755350,20
GHRH,37251086,37261819,20
PLCB4,9067825,9504593,20
PARAL1,9986088,10007116,20
ANKEF1,9986126,10058303,20
Metazoa_SRP,10025917,10026168,20
,10172522,10200824,20
,10172701,10186740,20
ZNF663P,46414228,46459276,20
,46455033,46496731,20
MKRN7P,46463719,46477232,20
ZNF840P,46484461,46492640,20
OCSTAMP,46540946,46550654,20
SLC13A3,46557823,46684467,20
,46681676,46682375,20
GCNT7,56491492,56525925,20
HRH3,62214960,62220278,20
RALGAPA2,20389530,20712644,20
ERGIC3,35542038,35557634,20
RAB5IF,36605779,36612557,20
UBE2V1,50081124,50115959,20
ADAM33,3667965,3682246,20
SLC12A5,46021690,46060150,20
RRBP1,17613678,17682295,20
SGK2,43558968,43588237,20
KAT14,18137228,18188387,20
TGM3,2296001,2341079,20
TGM6,2380901,2432753,20
Y_RNA,2453010,2453117,20
SNRPB,2461634,2470853,20
,2467212,2508907,20
SNORA71E,38448084,38448215,20
SNORA60,38449370,38449503,20
RALGAPB,38472816,38578859,20
MIR548O2,38516563,38516632,20
RPS3P2,38537758,38538458,20
,38614913,38615476,20
Metazoa_SRP,38711821,38712103,20
SLC32A1,38724486,38729372,20
ACTR5,38748460,38772520,20
RN7SKP173,38761528,38761842,20
EFCAB8,32858923,32961845,20
CNBD2,35954564,36030700,20
COL20A1,63293186,63334851,20
WFDC10B,45684651,45705019,20
MIR1257,61953546,61953662,20
,62037429,62037956,20
MIR3195,62064802,62064885,20
,62066830,62068437,20
TAF4,61953469,62065881,20
C20orf202,1203454,1209076,20
,38581197,38623493,20
ARHGAP40,38601809,38651035,20
WFDC8,45551153,45579326,20
CCNB1IP1P2,45567990,45568807,20
PIGT,45416084,45456934,20
ADIG,38581195,38588463,20
SUMO1P1,53875252,53875557,20
,53940160,53942508,20
MIR4756,54068408,54068485,20
CYP24A1,54153446,54173986,20
5_8S_rRNA,30484925,30485076,20
U6,30713240,30713346,20
BCAS1,53936777,54070594,20
FASTKD5,3146519,3159865,20
TP53RK,46684365,46689444,20
PRPF6,63981132,64033100,20
SPAG4,35615829,35621094,20
ZNF334,46499630,46513559,20
GSS,34928432,34956027,20
MYH7B,34955810,35002437,20
MIR499A,34990376,34990497,20
MIR499B,34990400,34990472,20
TRPC4AP,35002404,35092807,20
RNU6-407P,35030317,35030420,20
,57442742,57458298,20
HMGB1P1,57487959,57495366,20
CTCFL,57495966,57525652,20
PCK1,57561080,57568121,20
,57599695,57601200,20
ZBP1,57603846,57620576,20
ZMYND8,47209214,47356889,20
PTPRT,42072752,43189970,20
CABLES2,62388634,62407285,20
,57156048,57157230,20
,62120046,62121762,20
LINC00494,48359884,48370636,20
DLGAP4-AS1,36507702,36573391,20
,21937758,21970783,20
,62603320,62604389,20
LINC00237,21085576,21106514,20
,48192366,48216264,20
,63166013,63180903,20
CRMA,62544165,62551526,20
,21513016,21513705,20
,47352622,47353347,20
OSER1-DT,44210907,44226027,20
,36677488,36677797,20
EPB41L1-AS1,36147281,36155760,20
,57957126,57960176,20
LINC01742,58003904,58004648,20
,58069054,58072070,20
,58097267,58097591,20
C20orf85,58150902,58161150,20
ANKRD60,58216126,58228653,20
CD40,46118271,46129863,20
,46168404,46171237,20
MIR6812,45425510,45425573,20
MATN4,45293445,45308529,20
ADA,44584896,44652252,20
LINC01260,44656451,44663498,20
,44656451,44696096,20
CCN5,44714844,44728509,20
SUN5,32983773,33004433,20
BPIFB2,33007704,33023703,20
BPIFB6,33031648,33044047,20
PUDPP3,33047517,33048152,20
BPIFB4,33079643,33111751,20
BPIFA2,33161768,33181412,20
SOCS2P1,33187391,33188292,20
,33214920,33217067,20
BPIFA3,33217310,33227806,20
BPIFA1,33235995,33243311,20
RPL12P3,33272262,33272657,20
BPIFB1,33273480,33309871,20
BPIFB5P,33316869,33329969,20
BPIFB9P,33347720,33354444,20
CDK5RAP1,33358839,33401561,20
,33401582,33401833,20
SNTA1,33407957,33443763,20
BPIFB3,33053903,33073847,20
DNMT3B,32762385,32809359,20
,25239007,25245229,20
PYGB,25248085,25298012,20
,25251008,25251304,20
,25284915,25285588,20
ABHD12,25294742,25390835,20
PPIAP2,25368275,25368766,20
NINL,25452697,25585531,20
ASIP,34194569,34269344,20
XPOTP1,34213495,34215892,20
,34234840,34281173,20
,34245953,34246537,20
AHCY,34280268,34311802,20
,34281632,34286466,20
,34347671,34347785,20
Y_RNA,34384165,34384265,20
CDC42P1,34402149,34402696,20
ITCH-AS1,34441592,34442025,20
ITCH-IT1,34450930,34454552,20
MIR644A,34466325,34466418,20
FDX1P1,34475924,34476474,20
,34476205,34476787,20
Y_RNA,34526510,34526606,20
MAP1LC3A,34546854,34560345,20
PIGU,34560542,34698790,20
,34688688,34688978,20
,34363271,34540923,20
DYNLRB1,34516395,34540958,20
ITCH,34363235,34511773,20
GINS1,25391008,25452700,20
FOXA2,22580998,22585455,20
LNCNEF,22587522,22607517,20
LINC01747,22668480,22685344,20
,22684958,22746991,20
KRT18P3,22732802,22734089,20
GCNT1P1,18420160,18421454,20
RNA5SP476,18433842,18433944,20
POLR3F,18466878,18484648,20
MIR3192,18470615,18470691,20
RPL21P3,18485265,18486052,20
RBBP9,18486540,18497225,20
RPS19P1,18504633,18505066,20
SEC23B,18507520,18561415,20
SMIM26,18567347,18569563,20
RN7SL638P,18592330,18592619,20
RNU6ATAC34P,18611047,18611167,20
DUXAP7,18642782,18643634,20
DTD1-AS1,18674395,18698709,20
RBCK1,407498,432139,20
RTEL1-TNFRSF6B,63659300,63698684,20
RTEL1,63657810,63696253,20
Y_RNA,57311854,57311958,20
MIR4325,57321502,57321591,20
RPL39P39,57328546,57328696,20
